number	latency	type	duration
1	1.000000	N	2500
2	2501.000000	T	11500
3	14001.000000	N	2500
4	16501.000000	N	2500
5	19001.000000	T	11500
6	30501.000000	N	2500
7	33001.000000	N	2500
8	35501.000000	T	11500
9	47001.000000	N	2500
10	49501.000000	N	2500
11	52001.000000	T	11500
12	63501.000000	N	2500
13	66001.000000	N	2500
14	68501.000000	A	11500
15	80001.000000	N	2500
16	82501.000000	N	2500
17	85001.000000	A	11500
18	96501.000000	N	2500
19	99001.000000	N	2500
20	101501.000000	A	11500
21	113001.000000	N	2500
22	115501.000000	N	2500
23	118001.000000	A	11500
24	129501.000000	N	2500
25	132001.000000	N	2500
26	134501.000000	T	11500
27	146001.000000	N	2500
28	148501.000000	N	2500
29	151001.000000	T	11500
30	162501.000000	N	2500
31	165001.000000	N	2500
32	167501.000000	T	11500
33	179001.000000	N	2500
34	181501.000000	N	2500
35	184001.000000	T	11500
36	195501.000000	N	2500
37	198001.000000	N	2500
38	200501.000000	A	11500
39	212001.000000	N	2500
40	214501.000000	N	2500
41	217001.000000	A	11500
42	228501.000000	N	2500
43	231001.000000	N	2500
44	233501.000000	A	11500
45	245001.000000	N	2500
46	247501.000000	N	2500
47	250001.000000	A	11500
48	261501.000000	N	2500
49	264001.000000	N	2500
50	266501.000000	T	11500
51	278001.000000	N	2500
52	280501.000000	N	2500
53	283001.000000	T	11500
54	294501.000000	N	2500
55	297001.000000	N	2500
56	299501.000000	T	11500
57	311001.000000	N	2500
58	313501.000000	N	2500
59	316001.000000	T	11500
60	327501.000000	N	2500
61	330001.000000	N	2500
62	332501.000000	A	11500
63	344001.000000	N	2500
64	346501.000000	N	2500
65	349001.000000	A	11500
66	360501.000000	N	2500
67	363001.000000	N	2500
68	365501.000000	A	11500
69	377001.000000	N	2500
70	379501.000000	N	2500
71	382001.000000	A	11500
72	393501.000000	N	2500
73	396001.000000	N	2500
74	398501.000000	T	11500
75	410001.000000	N	2500
76	412501.000000	N	2500
77	415001.000000	T	11500
78	426501.000000	N	2500
79	429001.000000	N	2500
80	431501.000000	T	11500
81	443001.000000	N	2500
82	445501.000000	N	2500
83	448001.000000	T	11500
84	459501.000000	N	2500
85	462001.000000	N	2500
86	464501.000000	A	11500
87	476001.000000	N	2500
88	478501.000000	N	2500
89	481001.000000	A	11500
90	492501.000000	N	2500
91	495001.000000	N	2500
92	497501.000000	A	11500
93	509001.000000	N	2500
94	511501.000000	N	2500
95	514001.000000	A	11500
96	525501.000000	N	2500
